habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
cymes 	 Cymes bipares; préfloraison quinconciale à pièces périanthaires couvrantes au sommet du bouton. 
flowers 	 Fleurs pédicellées à périanthe semblable à celui de divers Salacia.
disk 	 Disque disciforme étalé à fossette centrale portant un étroit androgynophore en colonne.
stamens 	 Etamines 3 à filet rubané; anthère transversalement déhiscente;  pollen en monades tricol-porées réticulées. 
ovary 	 Ovaire supère à paroi mince, à 3 loges biovulées, à style atténué et stigmate subponctiforme.
fruits 	 Fruit à 3 méricarpes se dissociant en 6 valves caduques.
seeds 	 Graines ailées 2 par méricarpe, à raphé transalaire; cotylédons adhérents ou non entre eux;  radicule très réduite.  Graines insérées sur un socle biauriculé qui enchâsse les tubulures placentaires. 
habit 	 Liane dépassant 5-10 m de hauteur.
green parts 	 Parties vertes souvent nigres-centes au séchage mais restant parfois vert olive.
petiole 	 Pétiole de 6-12(15) mm, canaliculé.
lamina 	 Limbe chartacé, concolore, ovale, de 5-12(16) x 2-9 cm; base aiguë ou arrondie;  sommet brièvement acu-miné;  marges entières ou médiocrement crénelées dans le tiers supérieur. 
secondary veins 	 Nervures secondaires 4-7 paires.
inflorescences 	 Inflorescences glabres en cymes à pédoncule long de 1-3,5 cm, parfois groupées en panicules.
bracts 	 Bractées aiguës persistantes de 0,5-1,5 mm.
pedicels 	 Pédicelle grêle de 2-5(7).
buds 	 Bouton brièvement ové de 1,8-2,5 mm de diamètre.
flowers 	 Fleurs vertes ou jaune vert clair de 4-7 mm de diamètre.
sepals 	 Sépales inégaux semi-circulaires entiers ou paucidenticulés, larges de 1,5 mm.
petals 	 Pétales sessiles ovés, arrondis au sommet, imbriqués à la base, de 2-2,5 x 1,5-2 mm.
disk 	 Disque vert cupuliforme dans le bouton puis étalé, circulaire, à surface très finement grenue, de 1,5-2 mm de diamètre, au centre un étroit androgynophore dressé haut de 1-1,5 mm.
filaments 	 Filets longs de 2 mm; anthère transversalement elliptique. 
ovary 	 Ovaire à base trilobée; style atténué à stigmate à peine trilobulé. 
mericarps 	 Méricarpes oblongs plutôt étroits et minces à sommet variable aigu ou non.
valve base 	 Base des valves avec à la base de la face interne une cicatrice de dehiscence haute de 1,5-2,5 mm.
seeds 	 Graines 2 par méricarpe, ailées, de 4-5,5 x 1,2-1,5 cm, à tégument épaissi autour de l'embryon, en haut de l'aile et sur la nervure marginale; la couleur est jaune ocracé pâle ou grise, non rousse. 
habit 	 Lianes ou arbustes sarmenteux glabres.
leaves 	 Feuilles opposées parfois subopposées, à limbe souvent vernissé dessus en herbier, le plus souvent grisâtre, brunâtre, roussâtre ou noirâtre à sec, plus rarement olivacé.
inflorescences 	 Inflorescences en cymes ou grappes de cymes à entre-noeuds qua-drangulaires ou 4-ailés, munies de ramifications supplémentaires dans les fourches.
flowers 	 Fleurs petites, de 1,9-3,3 mm de diamètre à l'anthèse.
prebloom 	 Préfloraison quinconciale.
sepals 	 Sépales 5 un peu inégaux, un peu irrégulièrement denticulés.
corolla 	 Corolle rotacée ou semi-urcéolée; 5 pétales orbiculai-res ou oblongs, uni ou paucinerviés, à marges amincies, entiers ou subdenticulés, se coiffant bien entre eux au sommet du bouton. 
disk 	 Disque petit, 0,6-0,9 mm de diamètre, en cupule assez profonde, le rebord, presque au niveau de la base du style, est entier ou fendu sous chacune des trois étamines.
filaments 	 Filets rubanés étroits, séparés à la base, insérés dans un sillon périgyne profond; anthère transversalement déhiscente, à fente apicale dans le bouton puis extrorse. 
pistil 	 Pistil subpyramidal, à 3 lobes stig-matiques ± réduits et oppositistémones. 2 ovules juxtaposés par loge, par exception 2-4 chez l'espèce américaine E.festiva (Miers) A.C. Smith.
fruits 	 Fruit divisé en 3 méricarpes, chacun à 2 valves caduques.
seeds 	 Graines aptères ou ailées; dans ce dernier cas le raphé est transalaire. 
cotyledons 	 Cotylédons cordés à la base ce qui protège latéralement la radicule, soudés ou simplement adhérents.
habit 	 Liane atteignant 4-12 m de hauteur.
wood 	 Bois non connu.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 5-11 mm, canaliculé.
lamina 	 Limbe ovale de 4-11(15) x 2,5-6(8) cm; base arrondie ou brièvement cunéiforme;  sommet sublancéolé ou avec un acumen de 5-15 mm;  marges entières, parfois obcurément denticulées vers le sommet. 
secondary veins 	 Nervures secondaires (4)5-7 paires, souvent longuement ascendantes.
veinlets 	 Fin réseau souvent peu apparent à sec.
inflorescences 	 Inflorescences multiflores axillaires ou ± paniculées terminales, longues de 3-20 cm, soit avec un pédoncule simple et distinct, soit rameuses assez bas, soit encore en fascicules de panicules, glabres, à axes roux clair à sec et munis de fines ailes; ramifications parfois alternes;  bractées étroites très aiguës persistantes de 1 mm. 
pedicels 	 Pédicelles de 0,5-2,5 mm.
buds 	 Boutons subglobuleux, de 1-1,5 mm.
flowers 	 Fleur de près de 2 mm de diamètre, 1 mm à sec), vert pâle ou blanche, ne s'étalant pas.
sepals 	 Sépales denticulés micropustuleux de 0,4-0,5 mm.
petals 	 Pétales charnus subcucullés, ovés un peu denticulés longs de 1-2 mm environ.
disk 	 Disque cupuliforme de 0,65 mm de diamètre.
stamens 	 Étamines petites; anthère transverse à 4 petites locelles confluentes. 
style 	 Style très court; stigmate ponctiforme. 2 ovules par loge. 
mericarps 	 Méricarpes observés solitaires, de (25)34-50 x 20-30 x 10-18 mm, presque ovoïdes; tégument coriace plutôt mince, roux clair lisse dessus à sec, à l'intérieur roux ocracé clair ruguleux. 
seeds 	 Graines 2, rousses, de (20)26-45 x 13-20 x 5-8 mm; aile atrophiée longue de (2)4-7 mm;  tubulures funiculaires épaisses et jaunâtres, suborbiculaires en vue apicale avec un diamètre de 2-2,6 mm. 
habit 	 Liane dépassant 10-30 m de hauteur; bois non connu. 
leaves 	 Feuilles opposées, rarement subopposées.
petiole 	 Pétiole de 5-9 mm, canaliculé.
lamina 	 Limbe chartacé elliptique de (3)5-12 x 2-6,5 cm; base aiguë;  sommet acuminé sur 7-15 mm;  marges entières ou avec quelques rares denticules peu distincts aux abords du sommet. 
secondary veins 	 Nervures secondaires 5-8 paires médiocrement ascendantes.
inflorescences 	 Inflorescences multiflores axillaires ou terminales, en cymes ou panicules de cymes, longues de 2-15 cm, parfois interrompues par des feuilles.
axes 	 Axes roux foncé à sec, à 4 arêtes, presque subailés; bractées de 0,5 mm. 
pedicels 	 Pédicelles de 0,8-1,5 mm.
buds 	 Bouton vert ové, d'environ 1 mm.
flowers 	 Fleur très odorante, verte à corolle blanche puis crème devenant jaune, de 3-3,3 mm de diamètre.
sepals 	 Sépales ovés courts, larges d'environ 0,5 mm.
petals 	 Pétales oblongs de 1,5 x 0,8 mm, à une nervure axiale, à marge un peu irrégulièrement crénelée.
disk 	 Disque cupuliforme de 0,8 mm de diamètre, à bord fendu sous chaque étamine, et un peu sinueux par suite du contact avec les anthères dans le bouton.
filaments 	 Filets étroits profondément insérés, longs de 0,6 mm.
pistil 	 Pistil subpyramidal; style dressé à 3 petits lobes oppo-sitistémones;  ovaire à 3 loges biovulées. 
mericarps 	 Méricarpes solitaires ou par 2-3, de 4,5-6 x 3-3,7 x 0,8 cm, ovés.
integument 	 Tégument roux, ruguleux, plutôt mince.
seeds 	 Graines de 32-44 x 20-25 x 2,3 mm, y compris l'aile atrophiée de 5-10x 5 mm.
cotyledons 	 Cotylédons soudés ou ± nettement adhérents.
funicles 	 Tubulures funiculaires épaisses et subcylindriques sur un socle cylindrique; à la base des valves, des cicatrices hautes de 2-2,5 mm. 
habit 	 Liane ou arbuste sarmenteux entièrement glabre; hauteur dépassant 10 m;  tronc de liane jusqu'à 12 cm de diamètre. 
juvenile shoots 	 Jeunes rameaux aoûtés ochracés, lenticellés, cylindriques.
scales 	 Bourgeons avec des écailles caractéristiques.
leaves 	 Feuilles opposées rarement subopposées.
petiole 	 Pétiole canali-culé de (3)5-10 mm.
lamina 	 Limbe chartacé (subcoriaces dans certaines formes microphylles proches du type), elliptique, de 3-11 x 1,5-5 cm, aigu à arrondi à la base; lancéolé à acuminé au sommet;  marge dentée parfois indistinctement ou entière. 
secondary veins 	 Nervures secondaires 5-8 paires arquées, médiocrement ascendantes.
inflorescences 	 Inflorescences multiflores cymeuses divariquées, le plus souvent axillaires, plus rarement cymes en groupements paniculiformes; elles sont brun noirâtre à sec;  pédoncule des cymes longs de 1-3 cm, pas du tout ailé. 
bracts 	 Bractées très aiguës de 1(2) mm, toutes à peu près parfaitement opposées, un peu denticulées ciliolées.
pedicels 	 Pédicelles de 0,2-1 mm.
buds 	 Bouton ové de 1 mm.
flowers 	 Fleur verte à jaune vert d'abord pâle puis brunissant un peu, de 2 mm de diamètre, à coeur urcéolé.
sepals 	 Sépales subdenticulés de 0,8 mm de largeur ou moins.
petals 	 Pétales elliptiques de 1,3-1,5 x 0,6-0,7 mm, étalés au-dessus du tiers inférieur qui reste érigé.
disk 	 Disque de 0,6-0,7 mm de diamètre, à bord dressé cupuliforme avec 3 échancrures oppositisté-mones.
filaments 	 Filets étroits profondément insérés; anthère large de 0,2 mm, érigée dans le bouton. 
pistil 	 Pistil pyramidal de 0,5 mm; style atténué à stigmate ponctiforme ou capitelliforme;  2 ovules par loge. 
mericarps 	 Méricarpes de 4-5 x 1,6-2 cm, ovés oblongs.
seeds 	 Graine de 3-3,5 x 1-1,2 cm, à aile roux clair de 15-23 mm de longueur; partie cotylédonée brune, de 11-13 x 5-6 mm, généralement avec un petit apicule introrse. 
cotyledons 	 Cotylédons séparables mais ± adhérents.
funicles 	 Étuis funiculaires un peu comprimés sur un socle subcylindrique d'environ 1 mm de hauteur, d'où une cicatrice de même hauteur à la base de chaque valve.
habit 	 Lianes élevées inermes ou arbustes sarmenteux.
wood 	 Vieux bois presque normal, cylindrique mais festonné en coupe transversale de petits sillons inégaux et peu profonds.
stipules 	 Stipules séparées minuscules, insérées aux noeuds.
leaves 	 Feuilles opposées ou un peu subopposées; pas de caoutchouc distinct à la cassure du pétiole. 
lamina 	 Limbe entier souvent à marge finement denticulée.
inflorescences 	 Inflorescences axillaires groupées parfois en grands panicules terminaux; cymes dichotomes munies aux bifurcations de fleurs surnuméraires ou de petites ramifications supplémentaires. 
bracts 	 Bractées opposées réduites, aiguës.
flowers 	 Fleurs petites, pédicellées, à préfloraison imbriquée.
juvenile buds 	 Jeunes boutons globuleux.
sepals 	 Sépales 5 imbriqués.
petals 	 Pétales 5 semi-érigés.
disk 	 Disque bas en étroit petit bourrelet un peu sinueux.
stamens 	 Étamines 3 à anthères extrorses, transversalement déhiscentes, à filet rubané.
monads 	 Pollen simple tricolporé, petit, peu orné.
pistil 	 Pistil dressé, plus long que large, ± atténué en style étroit, glabre, à stigmate ponctiforme.
ovary 	 Ovaire à 3 loges et 2 ovules par loge.
fruits 	 Fruit sec tricarpellé, déhiscent en 6 valvcs comprimées et caduques.
seeds 	 Graines par 2, ailées, à 2 nervures dont le raphé transalaire.
cotyledons 	 Cotylédons non soudés; radicule à sommet saillant et aigu. 
germination 	 Germination épigée.
note 	 La variété-type est de l'Inde et de Ceylan, ses caractères sont ± intermédiaires entre ceux de trois variétés particulières à l'Afrique et ne sont pas très aisément définissables: les feuilles sont souvent vertes à sec et souvent petites;  la base du limbe est variable, rappelant parfois la variété de l'Afrique de l'Est, R. indica var. orientalis Hallé & B. Mathew;  les fleurs sont petites, jaune vif ou jaune verdâtre. 
habit 	 Liane glabre s'élevant jusqu'à 10-30 m.
rhytidome 	 Rhytidome fibreux; fibres à coupe transversale rectangulaire, 0,2-0,4 x 0,1-0,2 mm. 
juvenile shoots 	 Jeunes rameaux quadrangulaires ou non.
stipules 	 Stipules ayant au moins 1-3 dents principales aiguës.
leaves 	 Feuilles souvent un peu subopposées.
petiole 	 Pétiole nettement canali-culé long de 5-11 mm.
lamina 	 Limbe mince de 5-12 x 2,5-5,5 cm, souvent gris brun ou brun roux à sec, souvent assez distinctement denticulé, souvent aigu à la base et acuminé au sommet.
secondary veins 	 Nervures secondaires 5-6(7) paires espacées et arquées; fin réticule souvent distinct dessous. 
inflorescences 	 Inflorescences soit en cymes axillaires, soit en panicules terminaux de cymes opposées décussées avec des feuilles alors ± caduques et des paires de petites bractées aiguës; axes et fleurs souvent brun roux en herbier. 
cymes 	 Cymes à pédoncule et rameaux à 4 arêtes; fourches des ramifications avec fleur terminale parfois avortée, 2 rameaux principaux et 1 ou 2 petits rameaux supplémentaires;  jusqu'à 7-8 ramifications principales successives dont le pédoncule de 0,8-3 cm. 
pedicels 	 Pédicelles de 0,5-1 mm.
buds 	 Bouton blanc à jaune orangé, de moins de 1 mm, un peu ovale avant l'anthèse, les sépales couvrant environ la moitié de la hauteur.
flowers 	 Fleur blanche, blanc crème ou ± jaunâtre de 1,2-2 mm de diamètre.
sepals 	 Sépales 5 ovés, 0,8 x 0,6 mm, un peu inégaux, un peu denticulés, notamment dans la partie la plus large.
petals 	 Pétales 5 longs, atténués, de 1,7 x 0,6 mm, semi-érigés, enroulés en long dans les 2/3 supérieurs et paraissant ainsi sub-ulés.
stamens 	 Etamines environ 0,5 mm dont l'anthère ouverte suborbiculaire de 0,2 mm.
pistil 	 Pistil 0,7 x 0,4 mm; style étroitement atténué et tronqué au sommet. 
fruits 	 Fruit tricarpellé (ou 1-2 carpelles par avortement).
mericarps 	 Méricarpe oblong de 3,5-4,5 x 0,8-1,3 cm, très semblable à celui d'Apodostigma.
seeds 	 Graines 2 par carpelle, à tégument souvent roux pâle, parfois pourvu d'un très petit apicule opposé à la radicule, de 2,5-3,5 x 0,9-1,1 cm, insérées sur de petits étuis funiculaires comprimés de 1,5 mm.
habit 	 Variété souvent plus vigoureuse que la précédente.
juvenile shoots 	 Jeunes rameaux, souvent plus nettement quadrangulaires.
leaves 	 Feuilles souvent un peu plus larges, un peu plus coriaces, vertes et concolores à sec.
inflorescences 	 Inflorescences souvent noirâtres à sec, et très florifères.
flowers 	 Fleurs vertes devenant noirâtres à sec, un peu plus grandes, de 2,5-4 mm de diamètre.
filaments 	 Filets sta-minaux un peu plus longs, 0,65 mm.
fruits 	 Pas de différences dans les fruits.
habit 	 Lianes élevées, inermes.
wood 	 Vieux bois subcylindrique avec de faibles sillons espacés.
stipules 	 Stipules séparées, minuscules, insérées aux noeuds.
leaves 	 Feuilles opposées ou un peu subopposées à pétiole dépourvu à la cassure de filaments de caoutchouc.
lamina 	 Limbe entier ou à marge dentée mais le plus souvent indistinctement.
inflorescences 	 Inflorescences axillaires en cymes dichotomes: à chaque fourche une fleur terminale et deux rameaux égaux. 
flowers 	 Fleurs petites pédicellées, à préfloraison imbriquée.
juvenile buds 	 Jeunes boutons globuleux.
sepals 	 Sépales 5 imbriqués.
petals 	 Pétales non tout à fait étalés, 1/4 érigés; 4, en deux paires sont un peu symétriquement arqués ce qui produit une tendance à la zygomorphie. 
disk 	 Disque divisé en 3 croissants sous-staminaux orientés latéralement.
stamens 	 Étamines 3 à anthères extrorses, transversalement déhiscentes, à filet très court non rubané.
monads 	 Pollen simple, tricolporé, petit.
pistil 	 Pistil très court, large, coiffé d'un écusson triangulaire qui sépare les trois stigmates sessiles rejetés aux angles et dominant les anthères.
ovary 	 Ovaire à 3 loges et 2 ovules par loge.
fruits 	 Fruits et graines tout à fait similaires à ceux des Reissantia indica, mais cotylédons non distinctement nervés.
habit 	 Liane dépassant 8 cm de diamètre et 5-15 m de hauteur.
rhytidome 	 Rhytidome à liège souvent blanchâtre, peu fibreux.
juvenile shoots 	 Jeunes rameaux lisses, parfois avec 4 fines arêtes.
stipules 	 Stipules à plusieurs dents dont une très aiguë de 1 mm.
